,City1,Lat,Long
0,ADELAIDE,-34.9289,138.6011
1,ALBURY,-36.0806,146.9158
2,ALICE SPRINGS,-23.7,133.8667
3,ARMIDALE,-30.5,151.65
4,AYERS ROCK,-25.3444,131.0369
5,BALLINA,-28.8333,153.5333
6,BRISBANE,-27.4678,153.0281
7,BROOME,-17.9619,122.2361
8,BUNDABERG,-24.85,152.35
9,CAIRNS,-16.9303,145.7703
10,CANBERRA,-35.2931,149.1269
11,COFFS HARBOUR,-30.3022,153.1189
12,DARWIN,-12.4381,130.8411
13,DEVONPORT,-41.1806,146.3464
14,DUBBO,-32.2569,148.6011
15,GERALDTON,-28.7744,114.6089
16,GOLD COAST,-28.0167,153.4
17,HAMILTON ISLAND,-20.3519,148.9573
18,HERVEY BAY,-25.2853,152.8728
19,HOBART,-42.8806,147.325
20,KALGOORLIE,-30.7489,121.4658
21,KARRATHA,-20.7364,116.8464
22,LAUNCESTON,-41.4419,147.145
23,MELBOURNE,-37.8136,144.9631
24,NEWCASTLE,-32.9167,151.75
25,PERTH,-31.9522,115.8589
26,PORT MACQUARIE,-31.4333,152.9
27,PROSERPINE,-20.4017,148.5814
28,SUNSHINE COAST,-26.65,153.0667
29,SYDNEY,-33.865,151.2094
30,PORT LINCOLN,-34.7322,135.8586
31,EMERALD,-23.5167,148.15
32,GLADSTONE,-23.8489,151.2625
33,MACKAY,-21.1411,149.1861
34,MORANBAH,-22.0016,148.0533
35,MOUNT ISA,-20.7333,139.5
36,ROCKHAMPTON,-23.375,150.5117
37,TOWNSVILLE,-19.2564,146.8183
38,BURNIE,-41.0636,145.8753
39,MILDURA,-34.1889,142.1583
40,NEWMAN,-23.3539,119.7319
41,PORT HEDLAND,-20.31,118.6011
42,TAMWORTH,-31.0833,150.9167
43,WAGGA WAGGA,-35.1189,147.3689
