,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km),start_lon,start_lat,end_lon,end_lat
36,ADELAIDE,ALICE SPRINGS,2020,33665,470,59451,618520,1316,138.6011,-34.9289,133.8667,-23.7
75,ADELAIDE,BRISBANE,2020,360358,3008,507079,4878976,1622,138.6011,-34.9289,153.0281,-27.4678
116,ADELAIDE,CANBERRA,2020,56057,575,93486,558900,972,138.6011,-34.9289,149.1269,-35.2931
175,ADELAIDE,GOLD COAST,2020,74379,536,96156,861352,1607,138.6011,-34.9289,153.4,-28.0167
217,ADELAIDE,MELBOURNE,2020,614056,6358,906438,4088194,643,138.6011,-34.9289,144.9631,-37.8136
256,ADELAIDE,PERTH,2020,159019,1690,240297,3582800,2120,138.6011,-34.9289,115.8589,-31.9522
285,ADELAIDE,PORT LINCOLN,2020,59197,2253,87366,554238,246,138.6011,-34.9289,135.8586,-34.7322
324,ADELAIDE,SYDNEY,2020,576882,5019,802544,5857173,1167,138.6011,-34.9289,151.2094,-33.865
363,ALBURY,SYDNEY,2020,40351,1217,65837,550084,452,146.9158,-36.0806,151.2094,-33.865
392,ALICE SPRINGS,DARWIN,2020,4726,88,8522,114840,1305,133.8667,-23.7,130.8411,-12.4381
455,ARMIDALE,SYDNEY,2020,22472,916,38538,349912,382,151.65,-30.5,151.2094,-33.865
468,AYERS ROCK,SYDNEY,2020,29289,309,54628,673929,2181,131.0369,-25.3444,151.2094,-33.865
497,BALLINA,SYDNEY,2020,354109,3092,443746,1892304,612,153.5333,-28.8333,151.2094,-33.865
536,BRISBANE,CAIRNS,2020,728769,6791,937103,9446281,1391,153.0281,-27.4678,145.7703,-16.9303
575,BRISBANE,CANBERRA,2020,246928,2745,364005,2624220,956,153.0281,-27.4678,149.1269,-35.2931
614,BRISBANE,DARWIN,2020,159055,1441,219137,4109732,2852,153.0281,-27.4678,130.8411,-12.4381
625,BRISBANE,EMERALD,2020,54092,1362,90730,889386,653,153.0281,-27.4678,148.15,-23.5167
637,BRISBANE,GLADSTONE,2020,85407,2154,163702,934836,434,153.0281,-27.4678,151.2625,-23.8489
666,BRISBANE,HAMILTON ISLAND,2020,101793,1000,146518,888000,888,153.0281,-27.4678,148.9573,-20.3519
690,BRISBANE,HOBART,2020,99697,707,122890,1266237,1791,153.0281,-27.4678,147.325,-42.8806
732,BRISBANE,MACKAY,2020,395436,4570,593764,3642290,797,153.0281,-27.4678,149.1861,-21.1411
