,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
0,ADELAIDE,ALICE SPRINGS,1984,154245,1474,198702,1939784,1316.0
1,ADELAIDE,ALICE SPRINGS,1985,161697,1494,210157,1966104,1316.0
2,ADELAIDE,ALICE SPRINGS,1986,179639,1480,221362,1947680,1316.0
3,ADELAIDE,ALICE SPRINGS,1987,178809,1533,217725,2017428,1316.0
4,ADELAIDE,ALICE SPRINGS,1988,181142,1524,205967,2005584,1316.0
5,ADELAIDE,ALICE SPRINGS,1989,135572,1305,170265,1717380,1316.0
6,ADELAIDE,ALICE SPRINGS,1990,175592,1469,226544,1933204,1316.0
7,ADELAIDE,ALICE SPRINGS,1991,158961,1520,203904,2000320,1316.0
8,ADELAIDE,ALICE SPRINGS,1992,144173,1506,172820,1981896,1316.0
9,ADELAIDE,ALICE SPRINGS,1993,153567,1493,179735,1964788,1316.0
10,ADELAIDE,ALICE SPRINGS,1994,158761,1503,187151,1977948,1316.0
11,ADELAIDE,ALICE SPRINGS,1995,153763,1491,191606,1962156,1316.0
12,ADELAIDE,ALICE SPRINGS,1996,155102,1483,200439,1951628,1316.0
13,ADELAIDE,ALICE SPRINGS,1997,158628,1468,201725,1931888,1316.0
14,ADELAIDE,ALICE SPRINGS,1998,150361,1467,190554,1930572,1316.0
15,ADELAIDE,ALICE SPRINGS,1999,153970,1462,187871,1923992,1316.0
16,ADELAIDE,ALICE SPRINGS,2000,153440,1465,186712,1927940,1316.0
17,ADELAIDE,ALICE SPRINGS,2001,127648,1243,160168,1635788,1316.0
18,ADELAIDE,ALICE SPRINGS,2002,83393,729,96807,959364,1316.0
19,ADELAIDE,ALICE SPRINGS,2003,83184,735,97779,967260,1316.0
20,ADELAIDE,ALICE SPRINGS,2004,95446,802,121370,1055432,1316.0
21,ADELAIDE,ALICE SPRINGS,2005,94972,795,123791,1046220,1316.0
25,ADELAIDE,ALICE SPRINGS,2009,98782,788,135063,1037008,1316.0
26,ADELAIDE,ALICE SPRINGS,2010,43433,366,58550,481656,1316.0
31,ADELAIDE,ALICE SPRINGS,2015,93680,863,134274,1135708,1316.0
32,ADELAIDE,ALICE SPRINGS,2016,120714,1143,180614,1504188,1316.0
33,ADELAIDE,ALICE SPRINGS,2017,124466,1201,181752,1580516,1316.0
34,ADELAIDE,ALICE SPRINGS,2018,130294,1334,184095,1755544,1316.0
35,ADELAIDE,ALICE SPRINGS,2019,144629,1428,194949,1879248,1316.0
36,ADELAIDE,ALICE SPRINGS,2020,33665,470,59451,618520,1316.0
37,ADELAIDE,ALICE SPRINGS,2021,53653,827,91851,1088332,1316.0
38,ADELAIDE,ALICE SPRINGS,2022,30996,402,40448,529032,1316.0
39,ADELAIDE,BRISBANE,1984,38412,435,53500,705570,1622.0
40,ADELAIDE,BRISBANE,1985,39417,451,54287,731522,1622.0
41,ADELAIDE,BRISBANE,1986,48209,542,62707,879124,1622.0
42,ADELAIDE,BRISBANE,1987,61735,745,85384,1208390,1622.0
43,ADELAIDE,BRISBANE,1988,75625,792,89576,1284624,1622.0
44,ADELAIDE,BRISBANE,1989,45210,546,59860,885612,1622.0
45,ADELAIDE,BRISBANE,1990,61805,685,76765,1111070,1622.0
46,ADELAIDE,BRISBANE,1991,107448,1168,138799,1894496,1622.0
47,ADELAIDE,BRISBANE,1992,106873,1257,140392,2038854,1622.0
48,ADELAIDE,BRISBANE,1993,113095,1276,147200,2069672,1622.0
49,ADELAIDE,BRISBANE,1994,122425,1262,154015,2046964,1622.0
50,ADELAIDE,BRISBANE,1995,138581,1402,178899,2274044,1622.0
51,ADELAIDE,BRISBANE,1996,155358,1525,196666,2473550,1622.0
52,ADELAIDE,BRISBANE,1997,176312,1703,213142,2762266,1622.0
53,ADELAIDE,BRISBANE,1998,193341,1872,238098,3036384,1622.0
54,ADELAIDE,BRISBANE,1999,203853,1927,244459,3125594,1622.0
55,ADELAIDE,BRISBANE,2000,228649,2056,267783,3334832,1622.0
56,ADELAIDE,BRISBANE,2001,425320,3974,553682,6445828,1622.0
57,ADELAIDE,BRISBANE,2002,412000,3645,501367,5912190,1622.0
58,ADELAIDE,BRISBANE,2003,434643,3663,516448,5941386,1622.0
59,ADELAIDE,BRISBANE,2004,483684,3739,575709,6064658,1622.0
60,ADELAIDE,BRISBANE,2005,537120,4557,714265,7391454,1622.0
61,ADELAIDE,BRISBANE,2006,615131,5040,820361,8174880,1622.0
62,ADELAIDE,BRISBANE,2007,658232,5032,818877,8161904,1622.0
63,ADELAIDE,BRISBANE,2008,660299,5273,788230,8552806,1622.0
64,ADELAIDE,BRISBANE,2009,636988,5189,759602,8416558,1622.0
65,ADELAIDE,BRISBANE,2010,717098,5746,874807,9320012,1622.0
66,ADELAIDE,BRISBANE,2011,679827,5342,814462,8664724,1622.0
67,ADELAIDE,BRISBANE,2012,729163,5802,910201,9410844,1622.0
68,ADELAIDE,BRISBANE,2013,747489,5905,950848,9577910,1622.0
69,ADELAIDE,BRISBANE,2014,776650,6366,1006652,10325652,1622.0
70,ADELAIDE,BRISBANE,2015,792810,6622,1049675,10740884,1622.0
71,ADELAIDE,BRISBANE,2016,830335,6784,1108481,11003648,1622.0
