,City1,City2,Year,Passenger_Trips,Aircraft_Trips,Seats,Total Distance_(km),City Distance_(km)
28,ADELAIDE,ALICE SPRINGS,2012,0,0,0,0,
67,ADELAIDE,BRISBANE,2012,729163,5802,910201,9410844,1622.0
108,ADELAIDE,CANBERRA,2012,174947,1888,251199,1835136,972.0
167,ADELAIDE,GOLD COAST,2012,181609,1453,222671,2334971,1607.0
209,ADELAIDE,MELBOURNE,2012,2085161,17590,2589146,11310370,643.0
248,ADELAIDE,PERTH,2012,621654,5334,763175,11308080,2120.0
277,ADELAIDE,PORT LINCOLN,2012,195959,7050,331301,1734300,246.0
316,ADELAIDE,SYDNEY,2012,1751207,13213,2220114,15419571,1167.0
355,ALBURY,SYDNEY,2012,247285,6629,372085,2996308,452.0
399,ALICE SPRINGS,MELBOURNE,2012,0,0,0,0,
438,ALICE SPRINGS,SYDNEY,2012,0,0,0,0,
460,AYERS ROCK,SYDNEY,2012,153528,1458,202187,3179898,2181.0
489,BALLINA,SYDNEY,2012,280657,2673,353157,1635876,612.0
528,BRISBANE,CAIRNS,2012,1187024,9813,1474827,13649883,1391.0
567,BRISBANE,CANBERRA,2012,605381,6423,827894,6140388,956.0
606,BRISBANE,DARWIN,2012,367002,2257,450246,6436964,2852.0
617,BRISBANE,EMERALD,2012,264338,5510,422581,3598030,653.0
629,BRISBANE,GLADSTONE,2012,411600,7857,606996,3409938,434.0
658,BRISBANE,HAMILTON ISLAND,2012,153170,1159,196734,1029192,888.0
682,BRISBANE,HOBART,2012,0,0,0,0,
724,BRISBANE,MACKAY,2012,964853,9381,1254519,7476657,797.0
763,BRISBANE,MELBOURNE,2012,3189611,24376,4017295,33663256,1381.0
784,BRISBANE,MOUNT ISA,2012,59917,654,92076,1028742,1573.0
813,BRISBANE,NEWCASTLE,2012,591760,5871,719043,3604794,614.0
852,BRISBANE,PERTH,2012,951547,5302,1140283,19166730,3615.0
891,BRISBANE,PROSERPINE,2012,232162,1863,285538,1667385,895.0
930,BRISBANE,ROCKHAMPTON,2012,644428,9714,871136,5031852,518.0
969,BRISBANE,SYDNEY,2012,4390694,31980,5502136,24080940,753.0
1008,BRISBANE,TOWNSVILLE,2012,994164,8671,1273529,9642152,1112.0
1047,BROOME,PERTH,2012,324319,3432,427600,5755464,1677.0
1097,CAIRNS,MELBOURNE,2012,581666,3881,701044,8968991,2311.0
1136,CAIRNS,SYDNEY,2012,933907,6357,1138368,12529647,1971.0
1165,CAIRNS,TOWNSVILLE,2012,179756,5098,304451,1447832,284.0
1207,CANBERRA,MELBOURNE,2012,1003088,11061,1495116,5198670,470.0
1246,CANBERRA,SYDNEY,2012,1053216,18664,1631212,4404704,236.0
1285,COFFS HARBOUR,SYDNEY,2012,320162,4831,432366,2140133,443.0
1314,DARWIN,MELBOURNE,2012,283234,1976,367675,6186856,3131.0
1328,DARWIN,PERTH,2012,161867,1453,226171,3851903,2651.0
1367,DARWIN,SYDNEY,2012,263859,1918,344736,6051290,3155.0
1406,DEVONPORT,MELBOURNE,2012,0,0,0,0,
1437,DUBBO,SYDNEY,2012,174276,6398,256810,1983380,310.0
1449,GERALDTON,PERTH,2012,139534,3444,221655,1274280,370.0
1488,GOLD COAST,SYDNEY,2012,2440618,17060,3000818,11600800,680.0
1512,HAMILTON ISLAND,SYDNEY,2012,200648,1452,253985,2215752,1526.0
1530,HERVEY BAY,SYDNEY,2012,0,0,0,0,
1561,HOBART,MELBOURNE,2012,1239218,9380,1565748,5796840,618.0
1590,HOBART,SYDNEY,2012,477873,3901,599160,4053139,1039.0
1629,KALGOORLIE,PERTH,2012,240954,2907,404246,1563966,538.0
1668,KARRATHA,PERTH,2012,762492,8215,1217749,10268750,1250.0
1707,LAUNCESTON,MELBOURNE,2012,835805,8476,1109124,4034576,476.0
1736,LAUNCESTON,SYDNEY,2012,222664,1743,292234,1593102,914.0
1778,MELBOURNE,BURNIE,2012,0,0,0,0,
1809,MELBOURNE,GOLD COAST,2012,1790655,11793,2130838,15684690,1330.0
1848,MELBOURNE,MILDURA,2012,200377,4819,292365,2202283,457.0
1882,MELBOURNE,NEWCASTLE,2012,425168,3171,554347,2650956,836.0
1921,MELBOURNE,PERTH,2012,2131035,13076,2739412,35383656,2706.0
1960,MELBOURNE,SYDNEY,2012,8047730,55173,10153879,38952138,706.0
1981,NEWCASTLE,GOLD COAST,2012,0,0,0,0,
1988,PERTH,NEWMAN,2012,372231,4078,587675,4155482,1019.0
2017,PERTH,PORT HEDLAND,2012,494442,5215,757340,6842080,1312.0
2056,PERTH,SYDNEY,2012,1811442,9204,2283631,30225936,3284.0
2071,PORT MACQUARIE,SYDNEY,2012,197892,4567,279703,1466007,321.0
2115,SUNSHINE COAST,MELBOURNE,2012,324592,2152,375281,3129008,1454.0
2154,SUNSHINE COAST,SYDNEY,2012,463324,3228,566271,2701836,837.0
2201,SYDNEY,TOWNSVILLE,2012,189567,1448,228343,2447120,1690.0
2240,SYDNEY,WAGGA WAGGA,2012,180995,5345,271489,1961615,367.0
